recipient_iso3_code,2017,2018,2019,2020,2021,2022
MWI,17881167,18367883,18867337,19377061,19889742,20405317
MYS,31975806,32399271,32804020,33199993,33573874,33938221
MDV,472442,489758,504508,514438,521457,523787
MLI,19311355,19934298,20567424,21224040,21904983,22593590
MLT,467999,484630,504062,515332,518536,531113
MHL,47187,45989,44728,43413,42050,41569
MRT,4160015,4270712,4383849,4498604,4614974,4736139
MUS,1264887,1265577,1265985,1266014,1266334,1262523
MEX,122839258,124013861,125085311,125998302,126705138,127504125
FSM,110430,110929,111379,112106,113131,114164
MDA,2755189,2707203,2664224,2635130,2595809,2538894
MCO,37044,37029,37034,36922,36686,36469
MNG,3096030,3163991,3232430,3294335,3347782,3398366
MNE,622373,622227,622028,621306,619211,617213
MAR,35528115,35927511,36304408,36688772,37076584,37457971
MOZ,28569441,29423878,30285595,31178239,32077072,32969518
MMR,52288341,52666014,53040212,53423198,53798084,54179306
NAM,2364534,2405680,2446644,2489098,2530151,2567012
NRU,11682,11924,12132,12315,12511,12668
NPL,28183426,28506712,28832496,29348627,30034989,30547580
NLD,17131296,17231624,17344874,17441500,17533044,17700982
NCL,270810,271170,271240,271080,270390,269220
NZL,4813600,4900600,4979200,5090200,5111400,5124100
NIC,6480532,6572233,6663924,6755895,6850540,6948392
NER,21737922,22577058,23443393,24333639,25252722,26207977
NGA,193495907,198387623,203304492,208327405,213401323,218541212
MKD,2074502,2076217,2076694,2072531,2065092,2057679
MNP,50729,50304,49858,49587,49481,49551
NOR,5276968,5311916,5347896,5379475,5408320,5457127
OMN,4541854,4601157,4602768,4543399,4520471,4576298
PAK,216379655,219731479,223293280,227196741,231402117,235824862
PLW,17837,17864,17916,17972,18024,18055
PAN,4096063,4165255,4232532,4294396,4351267,4408581
PNG,9114796,9329227,9542486,9749640,9949437,10142619
PRY,6355404,6443328,6530026,6618695,6703799,6780744
PER,31605486,32203944,32824861,33304756,33715471,34049588
PHL,106738501,108568836,110380804,112190977,113880328,115559009
POL,37974826,37974750,37965475,37899070,37747124,36821749
PRT,10300300,10283822,10286263,10297081,10361831,10409704
PRI,3325286,3193354,3193694,3281557,3262693,3221789
QAT,2711755,2766732,2807235,2760385,2688235,2695122
ROU,19588715,19473970,19371648,19265250,19122059,19047009
RUS,144496739,144477859,144406261,144073139,144130482,144236933
RWA,12230339,12531808,12835028,13146362,13461888,13776698
WSM,207630,209701,211905,214929,218764,222382
SMR,34056,34156,34178,34007,33745,33660
STP,208036,211344,214599,218641,223107,227380
SAU,34193122,35018133,35827362,35997107,35950396,36408820
SEN,15157793,15574909,16000781,16436120,16876720,17316449
SRB,7020858,6982604,6945235,6899126,6834326,6664449
SYC,95843,96762,97625,98462,99258,119878
SLE,7677565,7861281,8046828,8233970,8420641,8605718
SGP,5612253,5638676,5703569,5685807,5453566,5637022
SXM,40574,40895,41608,42310,42668,42848
SVK,5439232,5446771,5454147,5458827,5447247,5431752
SVN,2066388,2073894,2088385,2102419,2108079,2111986
SLB,643634,659249,674993,691191,707851,724273
SOM,14864221,15411094,15981300,16537016,17065581,17597511
ZAF,56641209,57339635,58087055,58801927,59392255,59893885
SSD,10658226,10395329,10447666,10606227,10748272,10913164
ESP,46593236,46797754,47134837,47365655,47415794,47778340
LKA,21506813,21670000,21803000,21919000,22156000,22181000
KNA,47785,47761,47712,47642,47606,47657
LCA,177163,177888,178583,179237,179651,179857
MAF,34496,33852,33121,32553,31948,31791
VCT,105549,105281,104924,104632,104332,103948
SDN,40679828,41999059,43232093,44440486,45657202,46874204
SUR,587559,593715,600301,607065,612985,618040
SWE,10057698,10175214,10278887,10353442,10415811,10486941
CHE,8451840,8514329,8575280,8638167,8704546,8775760
